"business_id","tip_score","review_score","total_score","ranking","stamp_date"
"Ka00H3EHLLiPNpMj1V4Hcw","12.40625","0.16666667","12.572917","1","2019-11-30"
"vRR8UF2omrnJCytRm2163w","12.0","0.0","12.0","2","2019-11-30"
"6_94EKksekvepqgTQvzwfA","7.75","0.0","7.75","3","2019-11-30"
"Ej1kJCB3WDzsgLjoqQRfNQ","7.0","0.0","7.0","4","2019-11-30"
"0BVHJrRS6Cz4Z66bASb4kw","5.076923","0.0","5.076923","5","2019-11-30"
"WZMee0YTJXBwgXjhSV9NWw","5.0","0.0","5.0","6","2019-11-30"
"XcIqzonSqV9UcGEWFydu_A","5.0","0.0","5.0","6","2019-11-30"
"GPCI92owU34KMiRsRIGsYg","5.0","0.0","5.0","6","2019-11-30"
"9u1SFdv5B0jnF_o2W8shDQ","5.0","0.0","5.0","6","2019-11-30"
"V9THpMJoHCgwuJY1Elj_zw","4.75","0.0","4.75","10","2019-11-30"
